Decile,FOMC EW (%),Matched EW (%),Diff EW (%),FOMC VW (%),Matched VW (%),Diff VW (%)
Low (1),-0.88,-1.1,0.22,-0.23,-0.16,-0.07
Decile 2,-0.27,-0.59,0.32,-0.09,-1.13,1.05
Decile 3,-0.1,-0.42,0.32,0.02,-0.47,0.49
Decile 4,-0.01,-0.38,0.37,-0.02,-0.73,0.71
Decile 5,0.04,-0.35,0.39,0.01,-0.92,0.94
Decile 6,0.12,-0.3,0.42,0.02,-0.42,0.45
Decile 7,0.18,-0.58,0.75,-0.02,-0.68,0.65
Decile 8,0.23,-0.35,0.58,0.09,-0.32,0.41
Decile 9,0.33,-0.18,0.51,0.02,-0.23,0.25
High (10),0.73,0.69,0.04,0.09,-0.5,0.6
H-L,1.61,1.79,-0.19,0.32,-0.34,0.67
