Horizon (days),N Events,FOMC (EW) %,Matched (EW) %,Diff (EW) %,SE (EW) %,t-stat (EW),p-value (EW),FOMC (VW) %,Matched (VW) %,Diff (VW) %,t-stat (VW),p-value (VW),FDR q (EW)
1,216,0.10,0.88,-0.78,0.07,-11.90,2e-25,-0.02,0.16,-0.18,-2.64,0.00883,2e-24
2,216,0.16,1.03,-0.87,0.08,-10.82,4.61e-22,0.08,0.25,-0.17,-2.10,0.0371,2.31e-21
3,216,0.24,1.06,-0.81,0.08,-9.78,6.28e-19,-0.03,0.31,-0.34,-3.61,0.000375,2.09e-18
4,216,0.35,1.09,-0.75,0.09,-8.18,2.39e-14,0.12,0.28,-0.17,-1.57,0.117,5.97e-14
5,216,0.45,1.09,-0.64,0.10,-6.39,1.03e-09,0.24,0.21,0.03,0.24,0.811,2.05e-09
6,216,0.49,1.08,-0.59,0.11,-5.33,2.46e-07,0.23,0.24,-0.01,-0.08,0.937,3.52e-07
7,216,0.49,1.11,-0.62,0.11,-5.40,1.73e-07,0.18,0.26,-0.08,-0.57,0.572,2.89e-07
8,216,0.53,1.16,-0.63,0.12,-5.27,3.36e-07,0.10,0.36,-0.25,-1.61,0.108,4.2e-07
9,216,0.53,1.15,-0.62,0.12,-5.03,1.05e-06,0.02,0.29,-0.27,-1.69,0.093,1.17e-06
10,215,0.63,1.12,-0.49,0.12,-4.17,4.4e-05,0.03,0.24,-0.21,-1.38,0.168,4.4e-05
